Season,Team,League,GP,G,A,TP,PIM,PlusMinus,PlayerID
1999-00,Moose Jaw Warriors,WHL,51,5,8,13,166,-2,15249
1999-00,Lada Togliatti-2,Russia3,2,1,1,2,0,,60498
1999-00,CSK VVS Samara,Russia,17,0,1,1,14,,60498
1999-00,Lada Togliatti,Russia,8,0,0,0,6,,60498
1999-00,Russia U20,WJC-20,7,3,2,5,4,7,60498
1999-00,Acadie-Bathurst Titan,QMJHL,13,10,11,21,61,10,9685
1999-00,Halifax Mooseheads,QMJHL,59,57,80,137,148,29,9685
1999-00,Halifax Mooseheads,M-Cup,4,6,4,10,8,,9685
1999-00,Baie-Comeau Drakkar,QMJHL,67,31,61,92,14,0,7798
1999-00,HC Slavia Praha U20,Czech U20,22,7,8,15,6,15,25698
1999-00,HC Slavia Praha,Czech,25,1,2,3,4,-5,25698
1999-00,Czech Republic U18,WJC-18,6,1,2,3,2,-3,25698
1999-00,Czech Republic U20,WJC-20,7,0,0,0,0,-1,25698
1999-00,Spokane Chiefs,WHL,71,3,12,15,48,38,8870
1999-00,HC Havirov U20,Czech U20,5,1,3,4,4,6,10217
1999-00,HC Havirov,Czech,40,11,11,22,41,-9,10217
1999-00,HC Ytong Brno,Czech3,4,3,4,7,0,,10217
1999-00,Czech Republic U20,WJC-20,7,1,2,3,4,3,10217
1999-00,Dynamo Moskva,Russia,28,1,1,2,10,,15025
1999-00,Russia U20,WJC-20,7,3,5,8,2,6,15025
1999-00,Dynamo Moskva,Euro HL,3,1,1,2,2,2,15025
1999-00,Dynamo Moskva-2,Russia3,5,0,1,1,4,,60775
1999-00,THK Tver,Russia2,32,5,2,7,12,,60775
1999-00,Soo Indians,NAHL,22,5,11,16,32,,15257
1999-00,Barrie Colts,OHL,38,3,16,19,46,16,15257
1999-00,Barrie Colts,M-Cup,5,0,2,2,6,,15257
1999-00,SKA St. Petersburg-2,Russia3,4,4,1,5,2,,18845
1999-00,SKA St. Petersburg,Russia,31,2,0,2,10,,18845
1999-00,Harvard Univ.,NCAA,30,12,12,24,28,,8964
1999-00,Victoriaville Tigres,QMJHL,24,2,8,10,30,,60777
1999-00,Val-d'Or Foreurs,QMJHL,8,3,1,4,10,,60777
1999-00,Brynäs IF,SHL,48,7,9,16,73,12,745
1999-00,Sweden (all),International,7,0,1,1,4,,745
1999-00,Brynäs IF,Euro HL,5,1,1,2,10,-2,745
1999-00,Luleå HF,SHL,49,15,24,39,42,-8,510
1999-00,Sweden,WC,7,0,3,3,0,-2,510
1999-00,Sweden (all),International,17,4,4,8,2,,510
1999-00,RPI (Rensselaer Polytech. Inst.),NCAA,33,12,18,30,26,,9452
1999-00,Ottawa 67's,OHL,54,20,29,49,73,13,55443
1999-00,Ilves U20,Jr. A SM-liiga,13,3,2,5,24,,3194
1999-00,Ilves,Liiga,42,2,1,3,20,-11,3194
1999-00,Hermes,I-divisioona,3,0,0,0,2,-1,3194
1999-00,Finland U20,WJC-20,7,3,3,6,6,2,3194
1999-00,Finland U20 (all),International-Jr,16,4,5,9,14,,3194
1999-00,Harvard Univ.,NCAA,26,6,11,17,20,,9453
1999-00,USA U20,WJC-20,7,0,1,1,2,-2,9453
1999-00,Providence College,NCAA,38,15,12,27,12,9,9451
1999-00,CSKA Moskva,Russia2,40,11,7,18,32,,18562
1999-00,CSKA Moskva-2,Russia3,9,9,5,14,10,,18562
1999-00,Regina Pats,WHL,67,3,11,14,157,-4,21700
1999-00,Victoriaville Tigres,QMJHL,69,49,76,125,97,3,11547
1999-00,Portland Winter Hawks,WHL,70,20,27,47,96,-26,12724
1999-00,Leksands IF J18,J18 Allsvenskan,0,0,0,0,0,,345
1999-00,Leksands IF J20,SuperElit,36,10,13,23,36,,345
1999-00,Sweden U18,WJC-18,6,2,3,5,6,2,345
1999-00,Sweden U18 (all),International-Jr,17,4,8,12,18,,345
1999-00,Plymouth Whalers,OHL,50,1,15,16,123,11,11610
1999-00,HC Dukla Jihlava U20,Czech U20,27,4,2,6,36,8,27991
1999-00,HC Dukla Jihlava,Czech2,19,0,1,1,10,3,27991
1999-00,HC Dukla Jihlava,Czech Q,-,-,-,-,-,,27991
